FID,RDNAME,RDNAME2,HWY_NUM,AADTT16,VOG_WGT,VOG16,SHAPE_Length
12423,Highway 401 Collector,Macdonald-Cartier Fwy E,401,14430,69844902,249238000,0.00823299674767708
12424,Highway 401 Collector,Macdonald-Cartier Fwy E,401,14326,68650718,246112000,0.00477368744028242
12425,Highway 401 Collector,Macdonald-Cartier Fwy E,401,11499,68095221,243572000,0.00580509889906543
12426,HIGHWAY 401 COLLECTOR TO HIGHWAY 401, ,401,11283,67836437,246174000,0.00611601116553021
12427,Highway 401 Collector,Macdonald-Cartier Fwy W,401,10230,56533599,214809000,0.000612936282198
12428,Highway 401 Collector,Macdonald-Cartier Fwy W,401,13082,58989773,222193000,0.00677967645561104
12429,Highway 401 E,Macdonald-Cartier Fwy E,401,5799,55362516,196080000,0.0828588794766762
12430,Highway 401 E,Macdonald-Cartier Fwy E,401,5799,55362516,196080000,0.0103999158772751
12431,Tc Hwy W,King's Highway 417 W,417,6337,8428691,45638000,0.00755745300309734
12432,Tc Hwy E, ,417,6333,9297957,48100000,0.00623785083331338
12433,Highway 401 Expy,Macdonald-Cartier Fwy E,401,12926,68785350,244452000,0.0291663340530676
12434,HIGHWAY 401 TO HIGHWAY 401 COLLECTOR, ,401,12449,68047955,244120000,0.00878012583234532
12435,Highway 401 W,Macdonald-Cartier Fwy W,401,10742,58144871,220264000,0.0548148309288713
12436,Highway 7 W,King's Highway 8 W,7,1441,3874761,8026000,0.00534881124839288
12437,Highway 85 S,Conestoga Pky S,85,3983,4968147,18993000,0.00452720413309395
12438,Hwy 85 Collectors, ,85,3776,5202123,16800000,0.00515381800650563
12439,Hwy 85 Collectors, ,85,1862,7701912,26358000,0.00427908991797909
12440,King St Bypass, ,8,2672,12238698,27273000,0.00647375315526703
12441,King St E,King's Highway 8 W,8,0,0,0,0.00384533689514255
12442,King St E,King's Highway 8 W,8,11148,45577775,184706000,0.00182615713458404
12443,Highway 401 E,Macdonald-Cartier Fwy E,401,12193,55302446,255333000,0.00811724919402062
